city,cases
Banja Luka,724
Banovići,41
Berkovići,4
Bihać,49
Bijeljina,19
Bileća,33
Bosanska Dubica,19
Bosanska Gradiška,72
Bosanska Kostajnica,39
Bosanska Krupa,5
Bosanski Brod,23
Bosanski Novi,8
Bosanski Petrovac,13
Bosanski Šamac,11
Bratunac,14
Brčko,26
Breza,1
Bugojno,4
Bužim,1
Čapljina,23
Cazin,50
Čelić,5
Čelinac,60
Čitluk,97
Derventa,52
Doboj Jug,3
Doboj,102
Domaljevac-Šamac,1
Donji Vakuf,1
Foča,4
Gacko,42
Goražde,24
Gornji Vakuf - Uskoplje,9
Gračanica,7
Gradačac,1
Grude,15
Hadžići,10
Ilidža,73
Ilijaš,4
Istočna Ilidža,9
Istočno Sarajevo,2
Jablanica,12
Jajce,1
Jezero,1
Kakanj,4
Kalesija,43
Kalinovik,7
Kiseljak,5
Kladanj,1
Kneževo,31
Konjic,30
Kotor Varoš,99
Kozarska Dubica,23
Krupa na Uni,1
Laktaši,97
Livno,35
Ljubinje,33
Ljubuški,2
Lukavac,23
Maglaj,147
Međugorje,0
Milići,5
Modriča,92
Mostar,106
Mrkonjić Grad,59
Nevesinje,27
Novi Travnik,6
Odžak,2
Olovo,3
Osmaci,2
Oštra Luka,24
Pale,13
Petrovac,2
Petrovo,3
Posušje,4
Prijedor,114
Prnjavor,41
Ribnik,9
Rogatica,9
Sanski Most,11
Sapna,19
Sarajevo,286
Šekovići,1
Šipovo,13
Široki Brijeg,60
Sokolac,2
Srbac,46
Srebrenica,2
Srebrenik,23
Stolac,58
Teočak,17
Tešanj,140
Teslić,78
Tomislavgrad,3
Travnik,17
Trebinje,34
Trnovo,2
Tuzla,229
Ugljevik,12
Vareš,1
Velika Kladuša,3
Visoko,5
Vitez,7
Vlasenica,10
Vogošća,11
Vukosavlje,9
Zavidovići,24
Zenica,59
Žepče,22
Živinice,125
Zvornik,79
